Word (EN),Word (TA),English Definition,English example,Tamil Definition,Tamil example,Image url,Domain
K-Fold Validation,குழப்ப அட்டவணை,K-Fold Validation divides data into K subsets and trains K times using different folds as validation.,"For example, 5-fold validation trains the model 5 times.",K-Fold Validation என்பது data-ஐ K பகுதிகளாக பிரித்து K முறை train செய்யும் முறை.,5-fold validation-ல் model 5 முறை train செய்யப்படுகிறது.,,ML
Accuracy,ஆர்ஒசி வளைவு,Accuracy is the ratio of correctly predicted observations to total observations.,"For example, 90 correct predictions out of 100 gives 90% accuracy.",Accuracy என்பது சரியாக கணிக்கப்பட்ட sample எண்ணிக்கை / மொத்த sample எண்ணிக்கை ஆகும்.,100-ல் 90 சரி என்றால் accuracy 90%.,,ML
Precision,வளைவு கீழ் பரப்பளவு,Precision measures how many predicted positives are actually positive.,"For example, high precision means fewer false positives.",Precision என்பது predicted positive-களில் எத்தனை உண்மையான positive என்பதை அளக்கும் அளவுகோல்.,High precision என்றால் false positive குறைவு.,,ML
Recall,அம்ச வடிவமைப்பு,Recall measures how many actual positives were correctly predicted.,"For example, high recall means fewer false negatives.",Recall என்பது actual positive-களில் எத்தனை சரியாக கணிக்கப்பட்டது என்பதை அளக்கும்.,High recall என்றால் false negative குறைவு.,,ML
F1 Score,அம்ச அளவாக்கம்,F1 Score is the harmonic mean of precision and recall.,"For example, it balances false positives and false negatives.",F1 Score என்பது precision மற்றும் recall இன் harmonic mean ஆகும்.,Precision மற்றும் recall சமநிலை அளிக்கிறது.,,ML
Confusion Matrix,இயல்பாக்கம்,"A Confusion Matrix is a table summarizing prediction results with TP, TN, FP, FN values.","For example, it helps evaluate classification performance.","Confusion Matrix என்பது TP, TN, FP, FN மதிப்புகளை காட்டும் அட்டவணை ஆகும்.",Classification performance மதிப்பிட பயன்படுத்தப்படுகிறது.,,ML
ROC Curve,நிலைப்படுத்தல்,ROC Curve plots True Positive Rate against False Positive Rate at various thresholds.,"For example, it evaluates binary classifier performance.",ROC Curve என்பது TPR மற்றும் FPR இடையிலான graph ஆகும்.,Binary classifier மதிப்பீட்டிற்கு பயன்படுத்தப்படுகிறது.,,ML
AUC,இல்லாத மதிப்புகள்,AUC (Area Under Curve) measures the area under the ROC curve.,"For example, AUC closer to 1 indicates better model performance.",AUC என்பது ROC curve கீழ் உள்ள பரப்பளவு ஆகும்.,AUC 1க்கு அருகில் இருந்தால் model நல்லது.,,ML
True Positive,மதிப்பு நிரப்பு,True Positive is a correct prediction of the positive class.,"For example, correctly identifying spam email.",True Positive என்பது positive class-ஐ சரியாக கணித்தல்.,Spam email-ஐ சரியாக spam என கணித்தல்.,,ML
True Negative,வெளிச்சமான மதிப்பு,True Negative is a correct prediction of the negative class.,"For example, correctly identifying non-spam email.",True Negative என்பது negative class-ஐ சரியாக கணித்தல்.,Non-spam email-ஐ சரியாக non-spam என கணித்தல்.,,ML
False Positive,தரவு சுத்திகரிப்பு,False Positive is an incorrect prediction where negative is predicted as positive.,"For example, marking a normal email as spam.",False Positive என்பது negative-ஐ positive என தவறாக கணித்தல்.,Normal email-ஐ spam என குறித்தல்.,,ML
False Negative,தரவு முன்செயலாக்கம்,False Negative is an incorrect prediction where positive is predicted as negative.,"For example, missing a spam email.",False Negative என்பது positive-ஐ negative என தவறாக கணித்தல்.,Spam email-ஐ தவறவிடுதல்.,,ML
Feature Engineering,செயல்முறை தொடர்,Feature Engineering is the process of creating or transforming features to improve model performance.,"For example, extracting date parts from timestamp.",Feature Engineering என்பது model performance மேம்படுத்த feature உருவாக்கும் அல்லது மாற்றும் செயல்முறை.,"Timestamp-இல் இருந்து month, day பிரித்தல்.",,ML
Feature Scaling,முக்கிய கூறு பகுப்பாய்வு,Feature Scaling standardizes feature ranges to improve convergence speed.,"For example, scaling features between 0 and 1.",Feature Scaling என்பது feature மதிப்புகளை ஒரே அளவிற்கு மாற்றுவது.,0 முதல் 1 வரை scale செய்வது.,,ML
Normalization,சுயமதிப்பு,"Normalization rescales data to a fixed range, usually [0,1].","For example, dividing values by maximum value.","Normalization என்பது data-ஐ [0,1] range-க்கு மாற்றுவது.",Maximum value-ஆல் divide செய்வது.,,ML
Standardization,சுயதிசைவேக்டர்,Standardization transforms data to have mean 0 and standard deviation 1.,"For example, z-score normalization.",Standardization என்பது mean 0 மற்றும் std deviation 1 ஆக மாற்றுவது.,Z-score மூலம் standardize செய்கிறது.,,ML
One-Hot Encoding,நேரியல் பின்னடைவு,One-Hot Encoding converts categorical variables into binary vectors.,"For example, red, green, blue become separate binary columns.",One-Hot Encoding என்பது categorical value-ஐ binary column-களாக மாற்றும் முறை.,"Red, green, blue தனித்த column ஆகும்.",,ML
Label Encoding,லாஜிஸ்டிக் பின்னடைவு,Label Encoding assigns unique integers to categorical values.,"For example, male=0, female=1.",Label Encoding என்பது category-க்கு integer value வழங்கும் முறை.,"Male=0, Female=1 என encode செய்கிறது.",,ML
Missing Values,முடிவு மரம்,Missing Values refer to absent or undefined data entries in a dataset.,"For example, empty cells in dataset.",Missing Values என்பது dataset-ல் இல்லாத அல்லது காலியான data ஆகும்.,Empty cell missing value ஆகும்.,,ML
Imputation,சீரற்ற காடு,Imputation is the process of filling missing values using statistical techniques.,"For example, replacing missing values with mean.",Imputation என்பது missing value-ஐ மாற்று மதிப்பால் நிரப்பும் முறை.,Mean value கொண்டு missing value நிரப்புதல்.,,ML
Outlier,ஆதரவு திசை இயந்திரம்,An Outlier is a data point significantly different from others.,"For example, unusually high income in dataset.",Outlier என்பது மற்ற data-விட மிகவும் வேறுபட்ட data point ஆகும்.,அதிக வருமானம் கொண்ட ஒரு entry outlier ஆகும்.,,ML
Data Cleaning,கரு செயல்பாடு,Data Cleaning is the process of correcting or removing inaccurate data.,"For example, removing duplicate records.",Data Cleaning என்பது தவறான அல்லது duplicate data-ஐ நீக்கும் செயல்முறை.,Duplicate record-ஐ அகற்றுதல்.,,ML
Data Preprocessing,நைவ் பேய்ஸ் விதி,Data Preprocessing includes all steps taken to prepare raw data for modeling.,"For example, scaling, encoding, and cleaning.",Data Preprocessing என்பது raw data-ஐ model-க்கு தயார் செய்யும் அனைத்து செயல்முறைகளும்.,Scaling மற்றும் encoding preprocessing ஆகும்.,,ML
Pipeline,அருகிய அண்டை முறை,A Pipeline automates sequential ML steps such as preprocessing and training.,"For example, Scikit-learn pipeline chains scaling and model training.",Pipeline என்பது preprocessing மற்றும் training படிகளை தொடர்ச்சியாக செயல்படுத்தும் அமைப்பு.,Scaling மற்றும் model training ஒரே pipeline-ல் செயல்படும்.,,ML
Principal Component Analysis,தூர அளவுகோல்,PCA is a dimensionality reduction technique that transforms data into principal components based on variance.,"For example, PCA reduces correlated features into independent components.",PCA என்பது variance அடிப்படையில் data-ஐ principal component-களாக மாற்றும் dimensionality reduction முறை.,Correlated feature-களை குறைக்க PCA பயன்படுத்தப்படுகிறது.,,ML
Eigenvector,நரம்பியல் வலைப்பின்னல்,"An Eigenvector is a vector that remains in the same direction after a linear transformation, scaled by an eigenvalue.","For example, PCA uses eigenvectors of covariance matrix.",Eigenvector என்பது linear transformation பிறகும் திசை மாறாமல் இருக்கும் vector ஆகும்.,PCA covariance matrix-இன் eigenvector பயன்படுத்துகிறது.,,ML
Eigenvalue,உணரிப்பான்,"An Eigenvalue is a scalar associated with an eigenvector such that when a linear transformation is applied, the eigenvector is only scaled by that scalar factor.","For example, in PCA, eigenvalues indicate the amount of variance captured by each principal component.",Eigenvalue என்பது ஒரு eigenvector-க்கு தொடர்புடைய scalar மதிப்பு; linear transformation செய்தபோது அந்த vector அதன் திசை மாறாமல் அந்த scalar மூலம் மட்டுமே அளவு மாற்றம் அடையும்.,PCA-வில் eigenvalue அதிகமாக இருந்தால் அந்த principal component அதிக variance-ஐ பிரதிபலிக்கிறது.,,ML
Singular Value Decomposition,செயலூக்க செயல்பாடு,"Singular Value Decomposition (SVD) is a matrix factorization technique that decomposes a matrix into three matrices representing rotation, scaling, and transformation components.","For example, SVD is used in dimensionality reduction and recommendation systems.","SVD என்பது ஒரு matrix-ஐ மூன்று matrix-களாக (U, Σ, Vᵀ) பிரிக்கும் matrix factorization முறை ஆகும்.",Recommendation system-களில் latent feature கண்டறிய SVD பயன்படுத்தப்படுகிறது.,,ML
Linear Regression,நேர்மறை திருத்த செயல்பாடு,Linear Regression is a supervised learning algorithm that models the relationship between independent variables and a continuous dependent variable using a linear equation.,"For example, predicting house price using y = mx + c.",Linear Regression என்பது input feature-கள் மற்றும் continuous output இடையே நேரியல் உறவை கணிக்கும் algorithm ஆகும்.,House price prediction-ல் y = mx + c பயன்படுத்தப்படுகிறது.,,ML
Logistic Regression,சிக்மாய்டு செயல்பாடு,Logistic Regression is a classification algorithm that uses a sigmoid function to model the probability of binary outcomes.,"For example, predicting whether a tumor is malignant or benign.",Logistic Regression என்பது sigmoid function மூலம் binary class probability கணிக்கும் classification algorithm ஆகும்.,Tumor malignant அல்லது benign என கணிக்க logistic regression பயன்படுத்தப்படுகிறது.,,ML
Decision Tree,மென்மையான அதிகபட்சம்,A Decision Tree is a tree-structured model that makes predictions by splitting data based on feature conditions.,"For example, it classifies data by asking sequential yes/no questions.",Decision Tree என்பது feature condition அடிப்படையில் data-ஐ பிரித்து முடிவு எடுக்கும் tree model ஆகும்.,Yes/No கேள்விகள் மூலம் classification செய்கிறது.,,ML
Random Forest,பின்னோக்கி பரவல்,Random Forest is an ensemble learning method that builds multiple decision trees and combines their outputs to improve accuracy and reduce overfitting.,"For example, predictions are made by majority voting among trees.",Random Forest என்பது பல decision tree-களை உருவாக்கி அவற்றின் output-ஐ இணைக்கும் ensemble algorithm ஆகும்.,Majority voting மூலம் final prediction அளிக்கிறது.,,ML
Support Vector Machine,மறை அடுக்கு,SVM is a supervised learning algorithm that finds the optimal hyperplane maximizing margin between classes.,"For example, SVM separates classes using support vectors.",SVM என்பது class-களை அதிக margin உடன் பிரிக்கும் optimal hyperplane கண்டறியும் algorithm ஆகும்.,Support vector மூலம் class boundary வரையப்படுகிறது.,,ML
Kernel,உள்ளீட்டு அடுக்கு,"In ML, a Kernel function transforms data into higher dimensions to make it linearly separable.","For example, RBF kernel maps nonlinear data to separable space.",Kernel function என்பது data-ஐ higher dimension-க்கு மாற்றி linear separation சாத்தியமாக்கும் function ஆகும்.,RBF kernel nonlinear data-ஐ பிரிக்க உதவுகிறது.,,ML
Naive Bayes,வெளியீட்டு அடுக்கு,Naive Bayes is a probabilistic classifier based on Bayes’ theorem assuming feature independence.,"For example, it is widely used in text classification.",Naive Bayes என்பது Bayes விதியை அடிப்படையாகக் கொண்டு feature independence கருதி classification செய்கிறது.,Text classification-ல் Naive Bayes பயன்படுத்தப்படுகிறது.,,ML
K-Nearest Neighbors,எடை,KNN is a non-parametric algorithm that classifies data based on the majority label among k nearest data points.,"For example, a sample is classified by distance comparison.",KNN என்பது அருகிலுள்ள k data point-களின் label அடிப்படையில் classification செய்யும் algorithm ஆகும்.,Euclidean distance மூலம் nearest neighbor கண்டறிகிறது.,,ML
Distance Metric,சாய்வு கூறு,A Distance Metric measures similarity or dissimilarity between data points in feature space.,"For example, Euclidean and Manhattan distances are common metrics.",Distance Metric என்பது data point-களுக்கிடையிலான தூரத்தை அளக்கும் முறை ஆகும்.,Euclidean distance பொதுவாக பயன்படுத்தப்படுகிறது.,,ML
Euclidean Distance,தொலைப்பு முறை,Euclidean Distance is the straight-line distance between two points in Euclidean space.,"For example, calculated using square root of sum of squared differences.",Euclidean Distance என்பது இரண்டு point-களுக்கிடையிலான நேரடி தூரமாகும்.,√((x1-x2)²+(y1-y2)²) மூலம் கணக்கிடப்படுகிறது.,,ML
Manhattan Distance,ஒழுங்குபடுத்தல்,Manhattan Distance is the sum of absolute differences between coordinates.,"For example, useful in grid-based paths.",Manhattan Distance என்பது absolute difference-களின் கூட்டுத்தொகை ஆகும்.,|x1-x2| + |y1-y2| மூலம் கணக்கிடப்படுகிறது.,,ML
Cosine Similarity,எல்1 ஒழுங்குபடுத்தல்,Cosine Similarity measures the cosine of the angle between two vectors to determine similarity.,"For example, widely used in text similarity tasks.",Cosine Similarity என்பது இரண்டு vector-களின் கோணத்தை அடிப்படையாகக் கொண்டு similarity அளக்கும் முறை.,Text similarity-ல் cosine similarity பயன்படுத்தப்படுகிறது.,,ML
Neural Network,எல்2 ஒழுங்குபடுத்தல்,A Neural Network is a layered computational model inspired by biological neurons used for pattern recognition.,"For example, deep neural networks power image recognition systems.",Neural Network என்பது பல layer கொண்ட pattern recognition model ஆகும்.,Image recognition-ல் neural network பயன்படுத்தப்படுகிறது.,,ML
Perceptron,முன்கூட்டிய நிறுத்தம்,The Perceptron is a single-layer linear binary classifier that computes a weighted sum of input features and applies a step activation function to produce a binary output.,"For example, it classifies data points into two classes using a linear decision boundary.",Perceptron என்பது single-layer binary classifier ஆகும்; இது input-களின் weighted sum கணித்து step function மூலம் binary output வழங்குகிறது.,Linear decision boundary மூலம் data-ஐ இரண்டு class-களாக பிரிக்கிறது.,,ML
Activation Function,மேம்படுத்தி,An Activation Function introduces non-linearity into a neural network by transforming the weighted sum of inputs before passing it to the next layer.,"For example, ReLU and Sigmoid are commonly used activation functions.",Activation Function என்பது neural network-இல் non-linearity சேர்க்க weighted sum-ஐ மாற்றும் function ஆகும்.,ReLU மற்றும் Sigmoid activation function ஆக பயன்படுத்தப்படுகிறது.,,ML
ReLU,ஆடம் மேம்படுத்தி,"ReLU (Rectified Linear Unit) is an activation function defined as f(x)=max(0,x), allowing only positive values to pass forward.","For example, ReLU speeds up convergence in deep neural networks.","ReLU என்பது f(x)=max(0,x) என வரையறுக்கப்படும் activation function ஆகும்; negative மதிப்புகள் 0 ஆக மாற்றப்படும்.",Deep learning-ல் convergence வேகமாக நடக்க ReLU உதவுகிறது.,,ML
Sigmoid,சுருக்க நரம்பியல் வலை,Sigmoid is an activation function that maps input values into a range between 0 and 1 using an S-shaped curve.,"For example, it is often used in binary classification output layers.",Sigmoid என்பது input-ஐ 0 முதல் 1 வரை மாற்றும் S-shaped activation function ஆகும்.,Binary classification output layer-ல் sigmoid பயன்படுத்தப்படுகிறது.,,ML
Tanh,சுருக்கம்,Tanh is an activation function that maps input values into a range between -1 and 1.,"For example, it centers data around zero improving gradient flow.",Tanh என்பது input-ஐ -1 முதல் 1 வரை மாற்றும் activation function ஆகும்.,Zero-centered output வழங்குவதால் training மேம்படும்.,,ML
Softmax,மறுமுறை நரம்பியல் வலை,Softmax is an activation function that converts raw output scores into probability distribution across multiple classes.,"For example, used in multi-class classification problems.",Softmax என்பது output score-களை probability distribution ஆக மாற்றும் activation function ஆகும்.,Multi-class classification-ல் softmax பயன்படுத்தப்படுகிறது.,,ML
Backpropagation,நீண்ட-குறுகிய நினைவக வலை,Backpropagation is an algorithm used to compute gradients of loss with respect to model parameters using the chain rule.,"For example, neural networks update weights through backpropagation.",Backpropagation என்பது loss gradient-ஐ கணித்து weight-களை update செய்ய பயன்படுத்தப்படும் algorithm ஆகும்.,Neural network weight-கள் backpropagation மூலம் update செய்யப்படுகிறது.,,ML
Forward Propagation,கதவு மறுமுறை அலகு,Forward Propagation is the process of passing input data through the network to generate output predictions.,"For example, input features move layer by layer to produce final output.",Forward Propagation என்பது input data network-ல் முன்னோக்கி செல்ல output உருவாக்கும் செயல்முறை ஆகும்.,Input layer முதல் output layer வரை data செல்கிறது.,,ML
Hidden Layer,காலவரிசை,A Hidden Layer is an intermediate layer between input and output layers in a neural network.,"For example, deep networks contain multiple hidden layers.",Hidden Layer என்பது input மற்றும் output இடையிலான neural network layer ஆகும்.,Deep network-ல் பல hidden layer-கள் இருக்கும்.,,ML
Input Layer,இயற்கை மொழி செயலாக்கம்,The Input Layer is the first layer of a neural network that receives raw input features.,"For example, pixel values enter through the input layer in image models.",Input Layer என்பது neural network-இன் முதல் layer; இது raw input பெறுகிறது.,Image model-ல் pixel value input layer-க்கு வழங்கப்படுகிறது.,,ML
Output Layer,சொல் துண்டாக்கம்,The Output Layer is the final layer of a neural network that produces predictions.,"For example, it outputs class probabilities in classification tasks.",Output Layer என்பது network இறுதி layer; இது prediction வழங்குகிறது.,Classification-ல் class probability வழங்குகிறது.,,ML
Weight,வேர் சுருக்கம்,A Weight is a trainable parameter that determines the strength of influence of an input feature.,"For example, weights are updated during training to minimize loss.",Weight என்பது input feature-ன் தாக்கத்தை நிர்ணயிக்கும் trainable parameter ஆகும்.,Training போது weight update செய்யப்படுகிறது.,,ML
Bias Term,மூலவடிவ மாற்றம்,A Bias Term is an additional parameter added to the weighted sum to shift the activation function.,"For example, bias allows the model to fit data not passing through origin.",Bias Term என்பது weighted sum-க்கு சேர்க்கப்படும் கூடுதல் parameter ஆகும்.,Origin-ல் தொடங்காத data-ஐ fit செய்ய bias உதவுகிறது.,,ML
Dropout,சொல் தொகுப்பு முறை,Dropout is a regularization technique that randomly disables neurons during training to prevent overfitting.,"For example, dropout improves generalization in deep networks.",Dropout என்பது training போது சில neuron-களை random ஆக நிறுத்தும் regularization முறை ஆகும்.,Overfitting குறைக்க dropout பயன்படுகிறது.,,ML
Regularization,சொல்-ஆவண எடை,Regularization is a technique used to prevent overfitting by adding penalty terms to the loss function.,"For example, L1 and L2 are regularization methods.",Regularization என்பது overfitting தவிர்க்க loss function-க்கு penalty சேர்க்கும் முறை ஆகும்.,L1 மற்றும் L2 regularization உதாரணம்.,,ML
L1 Regularization,சொல் உட்பதிவு,L1 Regularization adds the absolute value of weights as penalty to the loss function promoting sparsity.,"For example, it can drive some weights to zero.",L1 Regularization என்பது weight absolute value-ஐ penalty ஆக சேர்க்கும் முறை.,சில weight-களை zero ஆக மாற்ற உதவுகிறது.,,ML
L2 Regularization,மாற்றி மாதிரி,L2 Regularization adds squared weight values as penalty reducing large weights.,"For example, it prevents extreme parameter values.",L2 Regularization என்பது weight square மதிப்பை penalty ஆக சேர்க்கும் முறை.,Weight அதிகமாக வளர்வதை கட்டுப்படுத்துகிறது.,,ML
Early Stopping,கவன செயன்முறை,Early Stopping halts training when validation loss stops improving to prevent overfitting.,"For example, training stops when validation accuracy decreases.",Early Stopping என்பது validation performance மேம்படாதபோது training நிறுத்தும் முறை.,Validation loss அதிகரித்தால் training நிறுத்தப்படும்.,,ML
Optimizer,குறியாக்கி,An Optimizer is an algorithm used to update model parameters to minimize the loss function.,"For example, Adam and SGD are optimizers.",Optimizer என்பது loss குறைக்க parameter update செய்யும் algorithm ஆகும்.,Adam optimizer பொதுவாக பயன்படுத்தப்படுகிறது.,,ML
Adam Optimizer,விலக்கி,Adam is an adaptive optimization algorithm combining momentum and RMSProp techniques.,"For example, it adjusts learning rate individually for parameters.",Adam என்பது momentum மற்றும் RMSProp இணைக்கும் adaptive optimizer ஆகும்.,ஒவ்வொரு parameter-க்கும் தனி learning rate அளிக்கிறது.,,ML
RMSProp,இருதிசை குறியாக்க மாற்றி,RMSProp is an optimizer that adapts learning rate based on recent gradients.,"For example, useful for non-stationary objectives.",RMSProp என்பது recent gradient அடிப்படையில் learning rate மாற்றும் optimizer ஆகும்.,Non-stationary problem-க்கு RMSProp உதவுகிறது.,,ML
Momentum,உருவாக்க முன்பயிற்சி மாற்றி,Momentum is an optimization technique that accelerates gradient descent by adding past gradients.,"For example, it reduces oscillations during training.",Momentum என்பது முந்தைய gradient-ஐ சேர்த்து optimization வேகப்படுத்தும் முறை.,Training oscillation குறைக்க உதவுகிறது.,,ML
Convolutional Neural Network,மாற்றுக் கற்றல்,A Convolutional Neural Network (CNN) is a deep learning architecture designed for processing grid-like data such as images using convolution operations.,"For example, CNNs are widely used in image recognition tasks.",CNN என்பது image போன்ற grid data செயலாக்க உருவாக்கப்பட்ட deep learning architecture ஆகும்.,Image recognition-ல் CNN பயன்படுத்தப்படுகிறது.,,ML
Pooling,நுண்ணிய அமைப்பு,Pooling is a down-sampling operation in CNN that reduces spatial dimensions of feature maps.,"For example, pooling reduces computational complexity.",Pooling என்பது CNN-ல் feature map அளவை குறைக்கும் down-sampling செயல்முறை ஆகும்.,Computation குறைக்க pooling உதவுகிறது.,,ML
Max Pooling,கணினி பார்வை,Max Pooling selects the maximum value from a pooling window in feature maps.,"For example, it retains dominant features while reducing size.",Max Pooling என்பது pooling window-இல் அதிக மதிப்பை தேர்வு செய்யும் முறை.,Feature map அளவு குறைந்து முக்கிய அம்சம் பாதுகாக்கப்படுகிறது.,,ML
Average Pooling,பட வகைப்பாடு,Average Pooling is a core concept in machine learning.,Average Pooling is widely used in ML models.,Average Pooling என்பது இயந்திரக் கற்றலில் பயன்படுத்தப்படும் முக்கிய சொல்.,Average Pooling ML மாடல்களில் பரவலாக பயன்படுத்தப்படுகிறது.,,ML
Filter,பொருள் கண்டறிதல்,"In CNN, a Filter (or kernel) is a small matrix of learnable weights that slides over input data to extract specific local features such as edges or textures.","For example, a 3x3 filter detects vertical edges in an image by performing convolution.","Filter என்பது CNN-ல் input மேல் slide செய்து edge, texture போன்ற local feature-களை கண்டறியும் weight matrix ஆகும்.",3x3 filter image-ல் vertical edge கண்டறிய பயன்படுகிறது.,,ML
Stride,பகுப்பாக்கம்,Stride defines the number of pixels by which the convolution filter moves across the input matrix.,"For example, stride=2 reduces output size by skipping alternate positions.",Stride என்பது filter ஒவ்வொரு முறை எத்தனை pixel நகர வேண்டும் என்பதை நிர்ணயிக்கும் அளவு ஆகும்.,Stride=2 என்றால் output அளவு குறைகிறது.,,ML
Padding,தரவு பெருக்கம்,Padding adds extra border values (usually zeros) around input to preserve spatial dimensions after convolution.,"For example, zero padding keeps output size equal to input size.",Padding என்பது convolution பிறகு அளவு குறையாமல் இருக்க input சுற்றி zeros சேர்ப்பது.,Zero padding output dimension-ஐ பாதுகாக்கிறது.,,ML
Recurrent Neural Network,உற்பத்தி எதிர்மறை வலை,RNN is a neural network designed for sequential data where output from previous step is fed as input to next step.,"For example, RNN is used in language modeling.",RNN என்பது sequential data க்கு வடிவமைக்கப்பட்ட network ஆகும்; முந்தைய output அடுத்த input ஆக பயன்படுத்தப்படுகிறது.,Language modeling-ல் RNN பயன்படுகிறது.,,ML
LSTM,தானியங்கி குறியீட்டாளர்,LSTM is a special type of RNN capable of learning long-term dependencies using memory cells and gating mechanisms.,"For example, LSTM handles long text sequences effectively.",LSTM என்பது memory cell மற்றும் gate mechanism மூலம் நீண்ட கால dependency கற்றுக்கொள்ளும் RNN வகை.,Long text sequence களை LSTM சிறப்பாக கையாளுகிறது.,,ML
GRU,அசாதாரணம் கண்டறிதல்,GRU is a simplified variant of LSTM that uses reset and update gates to capture dependencies.,"For example, GRU trains faster than LSTM in some tasks.",GRU என்பது LSTM-ன் எளிய வடிவம்; reset மற்றும் update gate மூலம் dependency கற்றுக்கொள்கிறது.,சில task-களில் GRU வேகமாக train ஆகிறது.,,ML
Sequence Model,பரிந்துரை அமைப்பு,A Sequence Model processes ordered data where context from previous elements influences future predictions.,"For example, speech recognition uses sequence models.",Sequence Model என்பது order உள்ள data-ஐ process செய்து context அடிப்படையில் prediction செய்கிறது.,Speech recognition sequence model பயன்படுத்துகிறது.,,ML
Time Series,மதிப்பீட்டு அளவுகோல்,Time Series refers to data points collected over time intervals used for forecasting.,"For example, stock price prediction uses time series analysis.",Time Series என்பது காலவரிசைப்படி சேகரிக்கப்பட்ட data ஆகும்.,Stock price forecasting time series பயன்படுத்துகிறது.,,ML
Natural Language Processing,சராசரி சதுரப் பிழை,NLP is a field of AI focused on enabling machines to understand and process human language.,"For example, chatbots use NLP for conversation.",NLP என்பது மனித மொழியை புரிந்து செயல்படுத்தும் AI துறை ஆகும்.,Chatbot-கள் NLP பயன்படுத்துகிறது.,,ML
Tokenization,சராசரி முழுப் பிழை,Tokenization is the process of splitting text into smaller units such as words or subwords.,"For example, a sentence is split into individual tokens.",Tokenization என்பது text-ஐ சிறிய token-களாக பிரிக்கும் செயல்முறை.,Sentence word-களாக பிரிக்கப்படுகிறது.,,ML
Stemming,விளக்கத்தக்க செயற்கை நுண்ணறிவு,Stemming reduces words to their root form by removing suffixes.,"For example, 'running' becomes 'run'.",Stemming என்பது word suffix நீக்கி root form பெறும் முறை.,'running' → 'run' ஆக மாற்றப்படுகிறது.,,ML
Lemmatization,மாதிரி நிறுவல்,Lemmatization reduces words to their dictionary base form considering context.,"For example, 'better' becomes 'good'.",Lemmatization என்பது word-ஐ context அடிப்படையில் dictionary form-ஆக மாற்றுவது.,'better' → 'good' ஆக மாற்றப்படுகிறது.,,ML
Bag of Words,தீர்மானம்,Bag of Words represents text as frequency counts of words ignoring order.,"For example, used in basic text classification.",Bag of Words என்பது word frequency அடிப்படையில் text-ஐ பிரதிபலிக்கும் முறை.,Text classification-ல் பயன்படுத்தப்படுகிறது.,,ML
TF-IDF,தாமதம்,TF-IDF measures importance of a word in a document relative to a corpus.,"For example, rare but frequent words in a document get higher weight.",TF-IDF என்பது corpus-இல் word முக்கியத்துவத்தை அளக்கும் முறை.,Rare word அதிக weight பெறுகிறது.,,ML
Word Embedding,அளவாக்கத்திறன்,Word Embedding represents words as dense numerical vectors capturing semantic relationships.,"For example, similar words have similar vectors.",Word Embedding என்பது word-களை semantic vector வடிவில் மாற்றும் முறை.,Similar word-களின் vector அருகில் இருக்கும்.,,ML
Word2Vec,Word2Vec,Word2Vec is a neural embedding technique that learns word relationships using shallow networks.,"For example, it captures analogies like king-man+woman=queen.",Word2Vec என்பது word embedding கற்றுக்கொள்ளும் neural technique ஆகும்.,King-man+woman≈queen உறவு கண்டறிகிறது.,,ML
GloVe,GloVe,GloVe is a global word embedding method based on word co-occurrence statistics.,"For example, trained on large text corpora.",GloVe என்பது word co-occurrence அடிப்படையில் embedding உருவாக்கும் முறை.,பெரிய corpus-ல் train செய்யப்படுகிறது.,,ML
Transformer,டிரான்ஸ்ஃபார்மர்,Transformer is a deep learning architecture based entirely on attention mechanisms without recurrence.,"For example, used in modern NLP models like BERT and GPT.",Transformer என்பது attention mechanism அடிப்படையில் இயங்கும் deep learning architecture ஆகும்.,BERT மற்றும் GPT transformer architecture பயன்படுத்துகிறது.,,ML
Attention Mechanism,அட்டென்ஷன் Mechanism,Attention allows a model to focus on relevant parts of input when making predictions.,"For example, translation models attend to important words.",Attention mechanism என்பது முக்கியமான input பகுதியை கவனித்து prediction செய்வது.,Translation-ல் முக்கிய word-ஐ கவனிக்கிறது.,,ML
Self Attention,Self அட்டென்ஷன்,Self Attention computes relationships between elements within the same sequence.,"For example, words in a sentence attend to each other.",Self Attention என்பது ஒரே sequence உள்ள element-கள் ஒருவரை ஒருவர் மதிப்பிடும் முறை.,Sentence word-கள் ஒன்றுக்கொன்று தொடர்பு காண்கிறது.,,ML
Encoder,என்கோடர்,Encoder processes input data and converts it into latent representation.,"For example, in translation, encoder encodes source sentence.",Encoder என்பது input-ஐ latent representation-ஆக மாற்றும் network பகுதி.,Translation-ல் source sentence encode செய்கிறது.,,ML
Decoder,டிகோடர்,Decoder generates output sequence from encoded representation.,"For example, decoder produces translated sentence.",Decoder என்பது encoded representation-இல் இருந்து output உருவாக்கும் பகுதி.,Translated sentence உருவாக்குகிறது.,,ML
BERT,BERT,BERT is a bidirectional transformer model pre-trained for language understanding tasks.,"For example, used in question answering.",BERT என்பது bidirectional transformer language model ஆகும்.,Question answering-ல் பயன்படுத்தப்படுகிறது.,,ML
GPT,GPT,GPT is an autoregressive transformer model trained to predict next word in sequence.,"For example, used in text generation.",GPT என்பது அடுத்த word கணிக்கும் autoregressive transformer model ஆகும்.,Text generation-ல் பயன்படுத்தப்படுகிறது.,,ML
